Taluk,Projected_Population_2023_Male,Projected_Population_2023_Female,Projected_Population_2023_Total,Percentage Share to Total Population,Rank
Chikkodi,240783,231377,472160,8.39,1
Athani,225855,216307,442162,7.86,2
Raibag,249200,238619,487819,8.67,3
Gokak,241911,239716,481627,8.56,4
Hukkeri,229155,227200,456355,8.11,5
Belagavi,589932,570496,1160428,20.62,6
Khanapur,140261,136924,277185,4.92,7
Savadatti,154298,150097,304395,5.41,8
Bailhongal,179557,176483,356040,6.33,9
Ramadurg,152688,148847,301535,5.36,10
Kitthuru,50825,49477,100302,1.78,11
Nippani,130456,126963,257419,4.57,12
Kagavada,88125,84431,172556,3.07,13
Mudalagi,127094,125589,252683,4.49,14
Yaragatti,53423,52322,105745,1.88,15
Jamakhandi,157915,156482,314397,14.16,1
Bilagi,92645,92655,185300,8.34,2
Mudhol,151030,151266,302296,13.61,3
Badami,140860,138153,279013,12.56,4
Bagalkote,169860,168293,338153,15.23,5
Hungund,88128,86682,174810,7.87,6
Guledagudda,52856,52515,105371,4.74,7
Ilkal,96982,96003,192985,8.69,8
RABAKAVI BANAHATTI,166224,162267,328491,14.79,9
Bijapur,316319,306772,623091,22.88,1
Indi,189658,177055,366713,13.47,2
Sindagi,99681,94582,194263,7.13,3
Basavan Bagewadi,98510,95729,194239,7.13,4
Muddebihal,105128,103629,208757,7.67,5
Nidagundi,51847,50562,102409,3.76,6
Babaleshwara,72715,71175,143890,5.28,7
Chadachana,77475,72638,150113,5.51,8
Talikote,77530,76176,153706,5.64,9
Tikota,99760,92878,192638,7.07,10
Kolhara,52966,51112,104078,3.82,11
Devara Hipparagi,69105,66150,135255,4.97,12
Alamela,79509,74716,154225,5.66,13
Aland,191786,180529,372315,11.89,1
Afzalpur,143437,136080,279517,8.93,2
Gulbarga,487184,468810,955994,30.54,3
Chincholi,122947,121269,244216,7.8,4
Sedam,123057,124624,247681,7.91,5
Chittapur,141887,141095,282982,9.04,6
Jevargi,118098,115282,233380,7.46,7
Kalagi,61995,62697,124692,3.98,8
Kamalapura,74950,71825,146775,4.69,9
Yadrami,80251,76580,156831,5.01,10
Shahbadha,43025,42970,85995,2.75,11
Basavakalyan,196088,187640,383728,19.38,1
Bhalki,154512,148116,302628,15.28,2
Aurad,106320,101833,208153,10.51,3
Bidar,287140,272521,559661,28.26,4
Humnabad,116262,111273,227535,11.49,5
Chittaguppa,78439,75910,154349,7.79,6
Kamalanagara,58480,55732,114212,5.77,7
Hulasuru,15159,14767,29926,1.51,8
Lingasugur,189067,186022,375089,16.36,1
Devdurga,184758,185123,369881,16.13,2
Raichur,293225,292666,585891,25.55,3
Manvi,105078,106645,211723,9.23,4
Sindhanur,187435,188360,375795,16.39,5
Maski,109538,108931,218469,9.53,6
Sirivara,77735,78672,156407,6.82,7
Yelburga,95294,93076,188370,11.32,1
Kushtagi,195805,183216,379021,22.77,2
Gangavathi,138518,139424,277942,16.7,3
koppal,238292,233258,471550,28.33,4
Karatagi,71373,72033,143406,8.62,5
Kukanuru,46002,45587,91589,5.5,6
Kanakagiri,56704,55832,112536,6.76,7
Naragund,55589,53515,109104,9.19,1
Rona,74519,74048,148567,12.51,2
Gadag,207273,205250,412523,34.74,3
Shirahatti,49658,47984,97642,8.22,4
Mundargi,76742,74687,151429,12.75,5
Gajendragad,79883,66199,146082,12.3,6
Laxmeshwar,61902,60356,122258,10.29,7
Dharwad,308934,300717,609651,27.75,1
Navalgund,70616,67243,137859,6.28,2
